"Back","Atpakaļ"
"Could not save the location: %1","Nevarēja saglabāt vietu: %1"
"Location with id %1 does not exist.","Vieta ar id %1 neeksistē."
"Could not delete the Location: %1","Nevarēja izdzēst vietu: %1"
"Pickup point with id %1 does not exist.","Pickup punkts ar id %1 neeksistē."
"Something went wrong while doing a request to DPD service. Please contact system administrator for more information.","Radās kļūda veidojot DPD pieprasījumu. Lūdzu, sazinieties ar sistēmas administratoru, lai uzzinātu papildus informāciju."
"DPD Request is not valid. Required parameter %1 is missing","DPD pieprasījums nav pareizs. Trūks obligātais parametrs %1"
"DPD Collection Request","DPD Paņemšanas pieprasījums"
"Cancel DPD Parcels","Atcelt DPD pakas"
"Entity not found","Vienība nav atrasta"
"No such entity","Nav tādas vienības"
"Invalid entity id","Nepareizs vienības id"
"Invalid response","Nederīga atbilde"
"Classic","B2C"
"Warehouse","Noliktava"
"Destination","Galamērķis"
"Edit","Labot"
"Delete","Dzēst"
"Delete ${ $.$data.name }","Dzēst ${ $.$data.name }"
"Are you sure you want to delete a ${ $.$data.name } record?","Vai esi pārliecināts, ka vēlies dzēst ${ $.$data.name } ierakstu?"
"Choose...","Izvēlies..."
"Include DPD Return Labels?","Ietvert DPD Return pavadlapas?"
"Select delivery time","Izvēlies piedādes laiku"
"Loading pickup points...","Ielāde Pickup punktus..."
"There are no DPD pickup points available in the chosen country. Please select a different shipping method.","Izvēlētajā valstī nav DPD Pickup punktu. Lūdzu, izvēlies citu piegādes veidu."
"Select DPD Pickup Point","Izvēlies DPD Pickup punktu"
"Please select a pickup point","Lūdzu, izvēlies DPD Pickup punktu"
"Field ","Lauks"
" is required."," ir nepieciešams."
"DPD","DPD"
"Enabled","Iespējot"
"Title","Nosaukums"
"Allowed Methods","Atļaut metodes"
"Sort Order","Šķirošanas kārtība"
"Displayed Error Message","Parādīt kļūdas paziņojumu"
"API Settings","API iestatījumi"
"Username","Lietotājvārds"
"Password","Parole"
"API URL","API URL"
"Debug mode","Debug režīms"
"DPD Classic Configuration","DPD B2C konfigurācija"
"Name","Vārds"
"Enable Free Shipping Threshold","Iespējot bezmaksas piegādes slieksni"
"Free Shipping Amount Threshold","Bezmaksas piegādes apjoma slieksnis"
"Ship to Applicable Countries","Nosūtīt uz piemērojamām valstīm"
"Ship to Specific Countries","nosūtīt uz noteiktām valstīm"
"Restrictions","Ierobežojumi"
"Enable Delivery Time Selection","Iespējot piegādes laiku izvēli"
"DPD Pickup Configuration","DPD Pickup iestatījumi"
"DPD Saturday Configuration","DPD Sestdiena iestatījumi"
"Timeframes Configuration","Timeframes iestatījumi"
"Monday","Pirmdiena"
"Tuesday","Otrdiena"
"Wednesday","Trešdiena"
"Thursday","Ceturtdiena"
"Friday","Piektdiena"
"CRON","CRON"
"Pickup Point Update Frequency","Pickup punktu atjaunināšanas biežums"
"General Information","Galvenā informācija"
"Type","Tips"
"Address","Adrese"
"City","Pilsēta"
"Postcode","Pasta indekss"
"Additional Info","Papildus informācija"
"Contact Name","Kontaktinformācija"
"Phone","Telefona numurs"
"74220000000",""
"Work Until","Strādā līdz"
"0,750208333333333",""
"Add new Location","Pievienot jaunu vietu"
"Delete items","Dzēst vienumu"
"Are you sure to delete?","Vai tiešām vēlies dzēst?"
"ID","ID"
"Created At","Izveidots"
"Updated At","Atjaunināts"
"Fill form bellow","Aizpildīt no apkašas"
"Sender Address","Nosūtītāja adrese"
"Recipient Address","Saņēmēja adrese"
"Package Info","Pakas informācija"
"DPD Collection Request successfully called"," DPD Paņemšanas pieprasījums veiksmīgi izveidots"
"Pickup point with API ID %1 does not exist.","Pickup punts ar API ID %1 neeksistē."
"Invalid parcel shops data.","Nederīga Pickup punkta informācija."
